reach_length_HR,reach_length_py
0.40903,0.051763878
0.41025,0.051763874
0.41022,0.051763878
0.41023,0.051763885
0.41023,0.07017395
0.05548,0.08858403
0,0.08858403
0.43208,0.08858403
0.43208,0.088584045
0.43208,0.333671997
0.43208,0.335950531
0.43248,0.093141113
0.30481,0.093141113
0.30482,0.093141113
0.30481,0.093141052
0.30482,0.093141052
0.04572,0.093141113
0.04572,0.093141113
0.07468,0.093141052
0.05336,0.093141052
0.04629,0.093141113
0.01671,0.093141113
0.05856,0.093141113
0,0.11839563
0.019202,0.220395142
0.019202,0.28176001
0.019202,0.266379883
0.019202,0.328125
0.019202,0.4275
0.019202,0.376800049
0.019202,0.29663501
0.019202,0.304800049
0.019202,0.339294922
0.019202,0.304804932
0.019202,0.258449951
0.019202,0.304804932
0.019202,0.378210205
0.019202,0.404774902
0.017864,0.355030029
0.017864,0.385840088
0.017864,0.36470166
0.017864,0.286123291
0.017864,0.286123047
0.017864,0.34655127
0.017864,0.230239746
0.017864,0.244890137
0.017864,0.378790039
0.01104,0.289067383
0.01104,0.256834961
0.04907,0.264232422
0,0.177240234
0.12024,0.18320752
0.019675,0.196487305
0.019675,0.062720215
0.019675,0.200820312
0.019675,0.339450195
0.019675,0.322609863
0.019675,0.328370117
0.019675,0.337125
0.019675,0.295899902
0.019675,0.222359863
0.019675,0.222359863
0.019675,0.242625488
0.019675,0.262890137
0.019675,0.329864746
0.01868,0.285674805
0.01868,0.216797363
0.01868,0.259084961
0.01868,0.253184082
0.01868,0.247283203
0.01868,0.247283203
0.01868,0.255706543
0.01868,0.313149902
0.01868,0.285519531
0.01868,0.276075195
0.017276,0.266640625
0.017276,0.304804688
0.017276,0.276459961
0.017276,0.303709961
0.017276,0.282354492
0.017276,0.145700195
0.017276,0.134830078
0.018927,0.221040039
0.018927,0.27281543
0.018927,0.219552734
0.018927,0.266695312
0.018927,0.261333008
0.018927,0.211799805
0.018927,0.108864258
0.018927,0.066759766
0.018927,0.081025391
0.018927,0.099240234
0.018927,0.160174805
0.018927,0.170334961
0.018927,0.093285156
0.018927,0.078770508
0.018927,0.063456055
0.018927,0.02922168
0.019116,0.029222656
0.019116,0.04222168
0.019116,0.184179688
0.019116,0.188030273
0.019116,0.072860352
0.019116,0.087318359
0.019116,0.095079102
0.019116,0.114805664
0.019116,0.214274414
0.019116,0.197109375
0.019116,0.093822266
0.019116,0.047537109
0.019116,0.018919922
0.019116,0.033621094
0.019116,0.088326172
0.019116,0.100719727
0.019116,0.071417969
0.08395,0.088522461
0.22154,0.233929687
0.26517,0.256794922
0.18551,0.168740234
0.15197,0.22534082
0.36162,0.243354492
0.10624,0.152744141
0.0334,0.051533203
0,0.019116211
0.07203,0.019116211
0.12941,0.019116211
0.01718,0.019116211
0,0.019116211
0.02,0.019116211
0.01784,0.019116211
0.02734,0.019116211
0,0.019116211
0.11041,0.019116211
0.28381,0.019116211
0.14474,0.019115234
0.08487,0.019116211
0.0396,0.019116211
0,0.019116211
0.06935,0.019116211
0.07637,0.019021484
0.29969,0.018926758
0.06867,0.018926758
0.015773,0.018927734
0.015773,0.018926758
0,0.018926758
0.015773,0.018926758
0.11114,0.018926758
0.0464,0.018926758
0.14017,0.018926758
0.2005,0.018926758
0.11985,0.018926758
0.07863,0.018927734
0.08342,0.018926758
0.0501,0.018926758
0.16763,0.018926758
0.25597,0.018101563
0.266695,0.017276367
0.266695,0.017275391
0.17241,0.017276367
0.37322,0.017276367
0.06886,0.017275391
0.07914,0.017276367
0,0.017978516
0.0906,0.018679688
0.47411,0.018679688
0.13331,0.018679688
0.41961,0.018679688
0.19,0.018679687
0.34328,0.018680664
0.20887,0.018680664
0.36217,0.018679688
0.26413,0.018679688
0.247283,0.019177734
0.247283,0.019674805
0.247283,0.019674805
0.259085,0.019675781
0.259085,0.019674805
0.17451,0.019674805
0.39684,0.019675781
0.26289,0.019674805
0.26289,0.019674805
0.22236,0.019675781
0.22236,0.019674805
0.22236,0.019674805
0.36944,0.019675781
0.30481,0.069958008
0.35193,0.120543945
0.29329,0.065943359
0.38561,0.011040039
0.01603,0.014452148
0.10941,0.017863281
0.10924,0.017864258
0,0.017864258
0.08285,0.017864258
0.27163,0.017864258
0.256835,0.017863281
0.256835,0.017864258
0.3213,0.017864258
0.43628,0.018533203
0.0535,0.019202148
0.40698,0.019202148
0.286123,0.019202148
0.286123,0.019202148
0.286123,0.019202148
0.44328,0.019201172
0.3284,0.019202148
0.38166,0.019202148
0.42789,0.019202148
0.32853,0.019202148
0.28108,0.019202148
0.23582,0.019202148
0.37379,0.019202148
0.3048,0.038880859
0.3048,0.037634766
0.28847,0.0315
0.46513,0.049825195
0.38987,0.064020508
0.26638,0.060200195
0.26638,0.045719727
0.29714,0.175269531
0.14365,0.30481543
0.093141,0.30481543
0.093141,0.30481543
0.093141,0.368644531
0.093141,0.432279297
0.093141,0.432080078
0.093141,0.432080078
0.093141,0.432080078
0.093141,0.278881836
0.093141,0.267957031
0.093141,0.410230469
0.093141,0.410224609
0.093141,0.410235352
0.093141,0.409640625
0.57876,0.204514648
0.088584,-32.07279384
0.088584,0.051763878
0.088584,0.051763874
0.088584,0.051763878
0.088584,0.051763885
0.051764,0.07017395
0.051764,0.08858403
0.051764,0.08858403
0.051764,0.08858403
0.051764,0.088584045
0,0.333671997
,0.335950531
,0.093141113
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141113
,0.11839563
,0.220395142
,0.28176001
,0.266379883
,0.328125
,0.4275
,0.376800049
,0.29663501
,0.304800049
,0.339294922
,0.304804932
,0.258449951
,0.304804932
,0.378210205
,0.404774902
,0.355030029
,0.385840088
,0.36470166
,0.286123291
,0.286123047
,0.34655127
,0.230239746
,0.244890137
,0.378790039
,0.289067383
,0.256834961
,0.264232422
,0.177240234
,0.18320752
,0.196487305
,0.062720215
,0.200820312
,0.339450195
,0.322609863
,0.328370117
,0.337125
,0.295899902
,0.222359863
,0.222359863
,0.242625488
,0.262890137
,0.329864746
,0.285674805
,0.216797363
,0.259084961
,0.253184082
,0.247283203
,0.247283203
,0.255706543
,0.313149902
,0.285519531
,0.276075195
,0.266640625
,0.304804688
,0.276459961
,0.303709961
,0.282354492
,0.145700195
,0.134830078
,0.221040039
,0.27281543
,0.219552734
,0.266695312
,0.261333008
,0.211799805
,0.108864258
,0.066759766
,0.081025391
,0.099240234
,0.160174805
,0.170334961
,0.093285156
,0.078770508
,0.063456055
,0.02922168
,0.029222656
,0.04222168
,0.184179688
,0.188030273
,0.072860352
,0.087318359
,0.095079102
,0.114805664
,0.214274414
,0.197109375
,0.093822266
,0.047537109
,0.018919922
,0.033621094
,0.088326172
,0.100719727
,0.071417969
,0.088522461
,0.233929687
,0.256794922
,0.168740234
,0.22534082
,0.243354492
,0.152744141
,0.051533203
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019115234
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019021484
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018101563
,0.017276367
,0.017275391
,0.017276367
,0.017276367
,0.017275391
,0.017276367
,0.017978516
,0.018679688
,0.018679688
,0.018679688
,0.018679688
,0.018679687
,0.018680664
,0.018680664
,0.018679688
,0.018679688
,0.019177734
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.069958008
,0.120543945
,0.065943359
,0.011040039
,0.014452148
,0.017863281
,0.017864258
,0.017864258
,0.017864258
,0.017864258
,0.017863281
,0.017864258
,0.017864258
,0.018533203
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019201172
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.038880859
,0.037634766
,0.0315
,0.049825195
,0.064020508
,0.060200195
,0.045719727
,0.175269531
,0.30481543
,0.30481543
,0.30481543
,0.368644531
,0.432279297
,0.432080078
,0.432080078
,0.432080078
,0.278881836
,0.267957031
,0.410230469
,0.410224609
,0.410235352
,0.409640625
,0.204514648
,-32.07279384
,0.051763878
,0.051763874
,0.051763878
,0.051763885
,0.07017395
,0.08858403
,0.08858403
,0.08858403
,0.088584045
,0.333671997
,0.335950531
,0.093141113
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141113
,0.11839563
,0.220395142
,0.28176001
,0.266379883
,0.328125
,0.4275
,0.376800049
,0.29663501
,0.304800049
,0.339294922
,0.304804932
,0.258449951
,0.304804932
,0.378210205
,0.404774902
,0.355030029
,0.385840088
,0.36470166
,0.286123291
,0.286123047
,0.34655127
,0.230239746
,0.244890137
,0.378790039
,0.289067383
,0.256834961
,0.264232422
,0.177240234
,0.18320752
,0.196487305
,0.062720215
,0.200820312
,0.339450195
,0.322609863
,0.328370117
,0.337125
,0.295899902
,0.222359863
,0.222359863
,0.242625488
,0.262890137
,0.329864746
,0.285674805
,0.216797363
,0.259084961
,0.253184082
,0.247283203
,0.247283203
,0.255706543
,0.313149902
,0.285519531
,0.276075195
,0.266640625
,0.304804688
,0.276459961
,0.303709961
,0.282354492
,0.145700195
,0.134830078
,0.221040039
,0.27281543
,0.219552734
,0.266695312
,0.261333008
,0.211799805
,0.108864258
,0.066759766
,0.081025391
,0.099240234
,0.160174805
,0.170334961
,0.093285156
,0.078770508
,0.063456055
,0.02922168
,0.029222656
,0.04222168
,0.184179688
,0.188030273
,0.072860352
,0.087318359
,0.095079102
,0.114805664
,0.214274414
,0.197109375
,0.093822266
,0.047537109
,0.018919922
,0.033621094
,0.088326172
,0.100719727
,0.071417969
,0.088522461
,0.233929687
,0.256794922
,0.168740234
,0.22534082
,0.243354492
,0.152744141
,0.051533203
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019115234
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019021484
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018101563
,0.017276367
,0.017275391
,0.017276367
,0.017276367
,0.017275391
,0.017276367
,0.017978516
,0.018679688
,0.018679688
,0.018679688
,0.018679688
,0.018679687
,0.018680664
,0.018680664
,0.018679688
,0.018679688
,0.019177734
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.069958008
,0.120543945
,0.065943359
,0.011040039
,0.014452148
,0.017863281
,0.017864258
,0.017864258
,0.017864258
,0.017864258
,0.017863281
,0.017864258
,0.017864258
,0.018533203
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019201172
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.038880859
,0.037634766
,0.0315
,0.049825195
,0.064020508
,0.060200195
,0.045719727
,0.175269531
,0.30481543
,0.30481543
,0.30481543
,0.368644531
,0.432279297
,0.432080078
,0.432080078
,0.432080078
,0.278881836
,0.267957031
,0.410230469
,0.410224609
,0.410235352
,0.409640625
,0.204514648
,-32.07279384
,0.051763878
,0.051763874
,0.051763878
,0.051763885
,0.07017395
,0.08858403
,0.08858403
,0.08858403
,0.088584045
,0.333671997
,0.335950531
,0.093141113
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141113
,0.11839563
,0.220395142
,0.28176001
,0.266379883
,0.328125
,0.4275
,0.376800049
,0.29663501
,0.304800049
,0.339294922
,0.304804932
,0.258449951
,0.304804932
,0.378210205
,0.404774902
,0.355030029
,0.385840088
,0.36470166
,0.286123291
,0.286123047
,0.34655127
,0.230239746
,0.244890137
,0.378790039
,0.289067383
,0.256834961
,0.264232422
,0.177240234
,0.18320752
,0.196487305
,0.062720215
,0.200820312
,0.339450195
,0.322609863
,0.328370117
,0.337125
,0.295899902
,0.222359863
,0.222359863
,0.242625488
,0.262890137
,0.329864746
,0.285674805
,0.216797363
,0.259084961
,0.253184082
,0.247283203
,0.247283203
,0.255706543
,0.313149902
,0.285519531
,0.276075195
,0.266640625
,0.304804688
,0.276459961
,0.303709961
,0.282354492
,0.145700195
,0.134830078
,0.221040039
,0.27281543
,0.219552734
,0.266695312
,0.261333008
,0.211799805
,0.108864258
,0.066759766
,0.081025391
,0.099240234
,0.160174805
,0.170334961
,0.093285156
,0.078770508
,0.063456055
,0.02922168
,0.029222656
,0.04222168
,0.184179688
,0.188030273
,0.072860352
,0.087318359
,0.095079102
,0.114805664
,0.214274414
,0.197109375
,0.093822266
,0.047537109
,0.018919922
,0.033621094
,0.088326172
,0.100719727
,0.071417969
,0.088522461
,0.233929687
,0.256794922
,0.168740234
,0.22534082
,0.243354492
,0.152744141
,0.051533203
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019115234
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019021484
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018101563
,0.017276367
,0.017275391
,0.017276367
,0.017276367
,0.017275391
,0.017276367
,0.017978516
,0.018679688
,0.018679688
,0.018679688
,0.018679688
,0.018679687
,0.018680664
,0.018680664
,0.018679688
,0.018679688
,0.019177734
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.069958008
,0.120543945
,0.065943359
,0.011040039
,0.014452148
,0.017863281
,0.017864258
,0.017864258
,0.017864258
,0.017864258
,0.017863281
,0.017864258
,0.017864258
,0.018533203
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019201172
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.038880859
,0.037634766
,0.0315
,0.049825195
,0.064020508
,0.060200195
,0.045719727
,0.175269531
,0.30481543
,0.30481543
,0.30481543
,0.368644531
,0.432279297
,0.432080078
,0.432080078
,0.432080078
,0.278881836
,0.267957031
,0.410230469
,0.410224609
,0.410235352
,0.409640625
,0.204514648
,-32.07279384
,0.051763878
,0.051763874
,0.051763878
,0.051763885
,0.07017395
,0.08858403
,0.08858403
,0.08858403
,0.088584045
,0.333671997
,0.335950531
,0.093141113
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141052
,0.093141052
,0.093141113
,0.093141113
,0.093141113
,0.11839563
,0.220395142
,0.28176001
,0.266379883
,0.328125
,0.4275
,0.376800049
,0.29663501
,0.304800049
,0.339294922
,0.304804932
,0.258449951
,0.304804932
,0.378210205
,0.404774902
,0.355030029
,0.385840088
,0.36470166
,0.286123291
,0.286123047
,0.34655127
,0.230239746
,0.244890137
,0.378790039
,0.289067383
,0.256834961
,0.264232422
,0.177240234
,0.18320752
,0.196487305
,0.062720215
,0.200820312
,0.339450195
,0.322609863
,0.328370117
,0.337125
,0.295899902
,0.222359863
,0.222359863
,0.242625488
,0.262890137
,0.329864746
,0.285674805
,0.216797363
,0.259084961
,0.253184082
,0.247283203
,0.247283203
,0.255706543
,0.313149902
,0.285519531
,0.276075195
,0.266640625
,0.304804688
,0.276459961
,0.303709961
,0.282354492
,0.145700195
,0.134830078
,0.221040039
,0.27281543
,0.219552734
,0.266695312
,0.261333008
,0.211799805
,0.108864258
,0.066759766
,0.081025391
,0.099240234
,0.160174805
,0.170334961
,0.093285156
,0.078770508
,0.063456055
,0.02922168
,0.029222656
,0.04222168
,0.184179688
,0.188030273
,0.072860352
,0.087318359
,0.095079102
,0.114805664
,0.214274414
,0.197109375
,0.093822266
,0.047537109
,0.018919922
,0.033621094
,0.088326172
,0.100719727
,0.071417969
,0.088522461
,0.233929687
,0.256794922
,0.168740234
,0.22534082
,0.243354492
,0.152744141
,0.051533203
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019115234
,0.019116211
,0.019116211
,0.019116211
,0.019116211
,0.019021484
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018926758
,0.018927734
,0.018926758
,0.018926758
,0.018926758
,0.018101563
,0.017276367
,0.017275391
,0.017276367
,0.017276367
,0.017275391
,0.017276367
,0.017978516
,0.018679688
,0.018679688
,0.018679688
,0.018679688
,0.018679687
,0.018680664
,0.018680664
,0.018679688
,0.018679688
,0.019177734
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.019674805
,0.019674805
,0.019675781
,0.069958008
,0.120543945
,0.065943359
,0.011040039
,0.014452148
,0.017863281
,0.017864258
,0.017864258
,0.017864258
,0.017864258
,0.017863281
,0.017864258
,0.017864258
,0.018533203
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019201172
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.019202148
,0.038880859
,0.037634766
,0.0315
,0.049825195
,0.064020508
,0.060200195
,0.045719727
,0.175269531
,0.30481543
,0.30481543
,0.30481543
,0.368644531
,0.432279297
,0.432080078
,0.432080078
,0.432080078
,0.278881836
,0.267957031
,0.410230469
,0.410224609
,0.410235352
,0.409640625
,0.204514648
